>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:36:24.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#23, 0.137 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.50377231836319	-0.124604880809784	-0.00223070947866384	-0.000551751810447379	0	0.00229793273150731	64	64	0.672090232372284	0.129439413547516	5.19231518401129	2.8420557975769	2.62325930595398	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.457870543003082	-0.107660822570324	-0.00202745590229431	-0.000476723330429654	0	0.00208274880134978	64	64	0.703684866428375	0.114835277199745	6.1277760944869	2.77493810653687	2.90889835357666	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.419433236122131	-0.0962746664881706	-0.00185725507611109	-0.000426305303531054	0	0.00190555310331649	64	64	0.692561507225037	0.114270634949207	6.06071286409563	2.70206189155579	1.98479115962982	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.258774727582932	-0.0741505697369576	-0.00114585739751134	-0.000328339554856815	0	0.0011919714924087	64	64	0.696494877338409	0.119481675326824	5.82930290718851	2.75316548347473	2.2718448638916	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.222110867500305	-0.0334854759275913	-0.000983509413651384	-0.000148274063156039	0	0.000994623529052923	64	64	0.780387818813324	0.240828558802605	3.24042888722749	2.72109222412109	2.93571305274963	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.196057185530663	-0.0134768085554242	-0.000868143417535108	-5.9675459509963E-05	0	0.000870192021267296	64	64	0.775255382061005	0.299752980470657	2.58631417390325	2.81296849250793	2.90133547782898	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.237592622637749	-0.0184022225439548	-0.00105206279912452	-8.14852479204443E-05	0	0.00105521371244425	64	64	0.775323987007141	0.291545212268829	2.65936106778604	2.79005837440491	2.76872777938843	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.454429715871811	-0.0214058477431536	-0.00201221988114668	-9.47853340069047E-05	0	0.00201445106905697	64	64	0.760424852371216	0.259934633970261	2.92544645073429	2.90580439567566	3.11512398719788	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.911130726337433	0.0750656351447105	-0.0040344970802415	0.000332391474750516	0	0.00404816634823274	64	64	0.810993194580078	0.173064276576042	4.68608086327821	2.82006430625916	2.83585715293884	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.973363220691681	0.105728231370449	-0.00431006326356806	0.000468165794910532	0	0.00433541515284098	64	64	0.833900094032288	0.176113292574883	4.73502074624899	2.76002073287964	2.6226441860199	0
