>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:36:24.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#16, 0.094 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.372096031904221	-0.129111409187317	-0.00164893742738988	-0.000572155080027344	0	0.00174538135519097	64	64	0.704448103904724	0.161007329821587	4.37525486998218	2.63598251342773	2.47012615203857	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.378037452697754	-0.124885514378548	-0.00167526673562838	-0.000553428096891481	0	0.00176431326411494	64	64	0.7017982006073	0.129205420613289	5.43164673181768	2.69243788719177	2.19677758216858	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.348541110754013	-0.121406547725201	-0.00154455418286823	-0.000538011113555249	0	0.00163557438905257	64	64	0.707145988941193	0.123684681952	5.71732875713442	2.68763303756714	3.81537747383118	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.0813681483268738	-0.136672124266624	-0.000360581607083974	-0.000605660264181822	0	0.000704871230066922	64	64	0.804967522621155	0.204721421003342	3.93201414232082	2.75760245323181	2.32178401947021	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.036184448748827	-0.136328235268593	-0.000160350787741725	-0.000604136325759743	0	0.000625054457812977	64	64	0.843425214290619	0.268793284893036	3.13782100109477	2.72061967849731	2.55861759185791	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.0188962556421757	-0.124348528683186	-8.37384451708722E-05	-0.000551048453640452	0	0.000557374672423468	64	64	0.846112489700317	0.273553639650345	3.09304051220746	2.68674778938293	2.67642593383789	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.0407143794000149	-0.125175222754478	-0.000180425100697976	-0.000554711934780468	0	0.000583316850047866	64	64	0.841134071350098	0.275616079568863	3.05183236285	2.66633677482605	2.66295146942139	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.228159606456757	-0.112854614853859	-0.00101108553235508	-0.000500113364106228	0	0.0011280103415729	64	64	0.780398726463318	0.130242615938187	5.99188461351004	2.73032855987549	2.99976897239685	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.668834567070007	-0.010387827642262	-0.00296392935105991	-4.60334868419398E-05	0	0.00296428680798354	64	64	0.739186346530914	0.13727106153965	5.38486654244605	2.78616118431091	2.23893785476685	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.878264904022217	0.0886871293187141	-0.00389201643455846	0.00039301555061742	0	0.00391180944703346	64	64	0.793396234512329	0.17656521499157	4.49350249736457	2.70873999595642	2.23410582542419	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-1.0041983127594	0.0704235881567001	-0.00445008825801445	0.0003120809692283	0	0.00446101782505659	64	64	0.793829083442688	0.12582939863205	6.30877276751519	2.69062542915344	2.12881541252136	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-1.17526507377625	0.0514621920883656	-0.00520816778759042	0.000228053855333443	0	0.00521315837709032	64	64	0.797048449516296	0.101718969643116	7.83578964978474	2.72405052185059	2.76088571548462	0
12	0	153.5	-448.5	4.25057020038366	-12.4194184318185	-1.25592684745789	-0.0480800941586494	-0.00556561910708621	-0.000213066144148062	0	0.00556969597257743	64	64	0.801853239536285	0.141813963651657	5.65426153313017	2.74519157409668	2.90956878662109	0
