Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.6675e-04,-0.444,-0.436,0.0016,-0.000800001
-1.6637e-04,-0.444,-0.448,0.0016,0.004
-1.6598e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.6560e-04,-0.444,-0.448,0.0016,0.004
-1.6521e-04,-0.444,-0.44,0.0024,-5.72205e-10
-1.6483e-04,-0.444,-0.448,0.0016,0.004
-1.6445e-04,-0.444,-0.44,0.0016,-0.000800001
-1.6406e-04,-0.444,-0.448,0.0016,0.0032
-1.6368e-04,-0.444,-0.44,0.0016,-5.72205e-10
-1.6329e-04,-0.444,-0.448,0.0016,0.004
-1.6291e-04,-0.444,-0.44,0.0016,-0.000800001
-1.6253e-04,-0.444,-0.448,0.0016,0.0032
-1.6214e-04,-0.444,-0.436,0.0016,-0.000800001
-1.6176e-04,-0.444,-0.448,0.0016,0.0032
-1.6137e-04,-0.444,-0.436,0.0016,-0.0016
-1.6099e-04,-0.444,-0.448,0.0016,0.0056
-1.6061e-04,-0.444,-0.436,0.0016,-0.000800001
-1.6022e-04,-0.444,-0.448,0.0016,0.004
-1.5984e-04,-0.444,-0.436,0.0016,-0.000800001
-1.5945e-04,-0.444,-0.448,0.0016,0.0032
-1.5907e-04,-0.444,-0.436,0.0016,-0.000800001
-1.5869e-04,-0.444,-0.448,0.0016,0.0032
-1.5830e-04,-0.444,-0.44,0.0016,-0.0016
-1.5792e-04,-0.444,-0.448,0.0016,0.0048
-1.5753e-04,-0.444,-0.44,0.0016,-0.000800001
-1.5715e-04,-0.444,-0.448,0.0016,0.004
-1.5676e-04,-0.444,-0.436,0.0016,-0.000800001
-1.5638e-04,-0.444,-0.448,0.0016,0.0032
-1.5600e-04,-0.444,-0.436,0.000799999,-0.000800001
-1.5561e-04,-0.444,-0.448,0.000799999,0.0048
-1.5523e-04,-0.444,-0.44,0.000799999,-0.0016
-1.5484e-04,-0.444,-0.448,0.000799999,0.0032
-1.5446e-04,-0.444,-0.436,0.000799999,-0.0016
-1.5408e-04,-0.444,-0.448,0.0016,0.004
-1.5369e-04,-0.444,-0.44,0.0016,-0.000800001
-1.5331e-04,-0.444,-0.448,0.0016,0.004
-1.5292e-04,-0.444,-0.44,0.0016,-0.000800001
-1.5254e-04,-0.444,-0.448,0.0016,0.0048
-1.5216e-04,-0.444,-0.436,0.0016,-0.0024
-1.5177e-04,-0.444,-0.448,0.0016,0.0048
-1.5139e-04,-0.444,-0.436,0.0016,-0.000800001
-1.5100e-04,-0.444,-0.448,0.0016,0.0048
-1.5062e-04,-0.444,-0.436,0.0016,-0.000800001
-1.5024e-04,-0.444,-0.448,0.000799999,0.0048
