Model,DPO2024B
Firmware Version,1.56

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,3.84025e-07,,,
Filter Frequency,290000,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
2.5952e-04,-0.444,-0.436,0.0032,-0.0016
2.5990e-04,-0.444,-0.448,0.0048,0.0136
2.6029e-04,-0.444,-0.44,0.0048,-0.000800001
2.6067e-04,-0.444,-0.448,0.0048,0.0088
2.6105e-04,-0.444,-0.44,0.004,-0.0024
2.6144e-04,-0.444,-0.448,0.004,0.0096
2.6182e-04,-0.444,-0.436,0.0048,0.000799999
2.6221e-04,-0.444,-0.448,0.0064,0.008
2.6259e-04,-0.444,-0.436,0.0072,0.000799999
2.6297e-04,-0.444,-0.448,0.0072,0.0192
2.6336e-04,-0.444,-0.436,0.0072,0.0024
2.6374e-04,-0.444,-0.448,0.0064,0.0112
2.6413e-04,-0.444,-0.436,0.0056,0.0024
2.6451e-04,-0.444,-0.448,0.0048,0.0088
2.6489e-04,-0.444,-0.436,0.0032,-5.72205e-10
2.6528e-04,-0.444,-0.448,0.0016,0.0072
2.6566e-04,-0.444,-0.436,0.000799999,-0.0056
2.6605e-04,-0.444,-0.448,-5.72205e-10,0.0072
2.6643e-04,-0.444,-0.44,-5.72205e-10,-0.0064
2.6681e-04,-0.444,-0.448,-0.000800001,0.008
2.6720e-04,-0.444,-0.436,-0.000800001,-0.004
2.6758e-04,-0.444,-0.448,-0.0016,0.0016
2.6797e-04,-0.444,-0.436,-0.0024,-0.0048
2.6835e-04,-0.444,-0.448,-0.0032,-5.72205e-10
2.6873e-04,-0.444,-0.436,-0.0032,-0.008
2.6912e-04,-0.444,-0.448,-0.0024,0.004
2.6950e-04,-0.444,-0.436,-0.0024,-0.008
2.6989e-04,-0.444,-0.448,-0.0016,0.0024
2.7027e-04,-0.444,-0.436,-0.000800001,-0.004
2.7065e-04,-0.444,-0.448,-0.000800001,0.0024
2.7104e-04,-0.444,-0.44,-0.0016,-0.0096
2.7142e-04,-0.444,-0.448,-0.0016,0.0024
2.7181e-04,-0.444,-0.44,-5.72205e-10,-0.0048
2.7219e-04,-0.444,-0.448,0.0024,0.004
2.7257e-04,-0.444,-0.436,0.004,-0.0048
2.7296e-04,-0.444,-0.448,0.0048,0.0152
2.7334e-04,-0.444,-0.436,0.0048,-0.0024
2.7373e-04,-0.444,-0.448,0.0056,0.008
2.7411e-04,-0.444,-0.44,0.0064,0.0032
2.7449e-04,-0.444,-0.448,0.0072,0.0128
2.7488e-04,-0.444,-0.436,0.0072,0.000799999
2.7526e-04,-0.444,-0.448,0.0072,0.0128
2.7565e-04,-0.444,-0.44,0.008,0.004
2.7603e-04,-0.444,-0.448,0.008,0.0112
2.7641e-04,-0.444,-0.44,0.0072,0.0024
2.7680e-04,-0.444,-0.448,0.0064,0.0112
2.7718e-04,-0.444,-0.44,0.0048,0.000799999
2.7757e-04,-0.444,-0.448,0.0032,0.0136
2.7795e-04,-0.444,-0.436,0.0024,-0.0032
2.7833e-04,-0.444,-0.448,0.000799999,0.0064
2.7872e-04,-0.444,-0.436,0.000799999,-0.0016
2.7910e-04,-0.444,-0.448,-5.72205e-10,0.0032
2.7949e-04,-0.444,-0.436,-0.000800001,-0.0032
2.7987e-04,-0.444,-0.448,-0.000800001,0.0016
2.8025e-04,-0.444,-0.436,-0.000800001,-0.0072
2.8064e-04,-0.444,-0.448,-0.0016,0.004
2.8102e-04,-0.444,-0.436,-0.0024,-0.0088
2.8141e-04,-0.444,-0.448,-0.0032,0.0024
2.8179e-04,-0.444,-0.436,-0.0032,-0.02
2.8218e-04,-0.444,-0.448,-0.0024,0.0136
2.8256e-04,-0.444,-0.44,-0.0016,-0.008
2.8294e-04,-0.444,-0.448,-0.0016,0.0104
2.8333e-04,-0.444,-0.436,-0.0024,-0.0056
2.8371e-04,-0.444,-0.448,-0.0032,0.0056
2.8410e-04,-0.444,-0.44,-0.004,-0.0096
2.8448e-04,-0.444,-0.448,-0.004,0.0024
2.8486e-04,-0.444,-0.44,-0.0032,-0.0064
2.8525e-04,-0.444,-0.448,-0.0024,-0.000800001
2.8563e-04,-0.444,-0.436,-0.000800001,-0.0064
2.8602e-04,-0.444,-0.448,0.000799999,0.004
2.8640e-04,-0.444,-0.44,0.0024,-0.000800001
2.8678e-04,-0.444,-0.448,0.004,0.0088
2.8717e-04,-0.444,-0.44,0.004,-5.72205e-10
2.8755e-04,-0.444,-0.448,0.0048,0.0088
2.8794e-04,-0.444,-0.44,0.0048,0.0016
2.8832e-04,-0.444,-0.448,0.0064,0.0088
2.8870e-04,-0.444,-0.436,0.0064,0.000799999
2.8909e-04,-0.444,-0.448,0.0064,0.0128
2.8947e-04,-0.444,-0.436,0.0056,0.0024
2.8986e-04,-0.444,-0.448,0.0048,0.0104
2.9024e-04,-0.444,-0.44,0.004,-0.000800001
2.9062e-04,-0.444,-0.448,0.0024,0.0072
2.9101e-04,-0.444,-0.44,0.0016,-0.0048
2.9139e-04,-0.444,-0.448,0.000799999,0.0048
2.9178e-04,-0.444,-0.44,0.000799999,-0.004
2.9216e-04,-0.444,-0.448,0.0016,0.0056
2.9254e-04,-0.444,-0.44,0.0024,-0.0056
2.9293e-04,-0.444,-0.448,0.0024,0.0176
2.9331e-04,-0.444,-0.436,0.0016,-0.0024
2.9370e-04,-0.444,-0.448,0.000799999,0.0048
2.9408e-04,-0.444,-0.44,-5.72205e-10,-0.0072
2.9446e-04,-0.444,-0.448,-5.72205e-10,0.004
2.9485e-04,-0.444,-0.44,-5.72205e-10,-0.0024
2.9523e-04,-0.444,-0.448,-5.72205e-10,0.004
2.9562e-04,-0.444,-0.436,-0.0016,-0.0048
2.9600e-04,-0.444,-0.448,-0.0024,0.0048
2.9638e-04,-0.444,-0.436,-0.0032,-0.0072
2.9677e-04,-0.444,-0.448,-0.0032,-0.000800001
2.9715e-04,-0.444,-0.44,-0.0032,-0.0072
2.9754e-04,-0.444,-0.448,-0.0032,0.0032
2.9792e-04,-0.444,-0.436,-0.0032,-0.0088
2.9830e-04,-0.444,-0.448,-0.0032,0.0016
2.9869e-04,-0.444,-0.44,-0.0024,-0.0064
2.9907e-04,-0.444,-0.448,-0.0016,-5.72205e-10
2.9946e-04,-0.444,-0.436,-5.72205e-10,-0.0048
2.9984e-04,-0.444,-0.448,0.000799999,0.0032
3.0022e-04,-0.444,-0.436,0.0024,-0.0016
3.0061e-04,-0.444,-0.448,0.0024,0.0096
3.0099e-04,-0.444,-0.436,0.0024,-0.0064
3.0138e-04,-0.444,-0.448,0.0024,0.008
3.0176e-04,-0.444,-0.44,0.0032,-0.000800001
3.0214e-04,-0.444,-0.448,0.004,0.0064
3.0253e-04,-0.444,-0.44,0.0048,-0.0016
3.0291e-04,-0.444,-0.448,0.0056,0.0168
3.0330e-04,-0.444,-0.436,0.0056,-5.72205e-10
3.0368e-04,-0.444,-0.448,0.0048,0.012
3.0406e-04,-0.444,-0.44,0.0048,-5.72205e-10
3.0445e-04,-0.444,-0.448,0.004,0.0096
3.0483e-04,-0.444,-0.44,0.004,0.000799999
3.0522e-04,-0.444,-0.448,0.0032,0.0072
3.0560e-04,-0.444,-0.44,0.0024,-0.0064
3.0598e-04,-0.444,-0.448,0.0016,0.0072
3.0637e-04,-0.444,-0.44,0.0016,-0.0032
3.0675e-04,-0.444,-0.448,0.000799999,0.0048
3.0714e-04,-0.444,-0.436,0.000799999,-0.0032
3.0752e-04,-0.444,-0.448,-0.000800001,0.0064
3.0790e-04,-0.444,-0.44,-0.000800001,-0.008
3.0829e-04,-0.444,-0.448,-0.0016,0.0024
3.0867e-04,-0.444,-0.44,-0.0024,-0.0072
3.0906e-04,-0.444,-0.448,-0.0032,0.0048
3.0944e-04,-0.444,-0.436,-0.0032,-0.0096
3.0982e-04,-0.444,-0.448,-0.004,0.0024
3.1021e-04,-0.444,-0.44,-0.004,-0.008
3.1059e-04,-0.444,-0.448,-0.0048,0.000799999
3.1098e-04,-0.444,-0.44,-0.0048,-0.0128
3.1136e-04,-0.444,-0.448,-0.0056,-0.0016
3.1175e-04,-0.444,-0.436,-0.0048,-0.0112
3.1213e-04,-0.444,-0.448,-0.004,-5.72205e-10
3.1251e-04,-0.444,-0.436,-0.0024,-0.008
3.1290e-04,-0.444,-0.448,-5.72205e-10,0.0104
3.1328e-04,-0.444,-0.436,0.000799999,-0.0016
3.1367e-04,-0.444,-0.448,0.000799999,0.0032
3.1405e-04,-0.444,-0.44,0.0024,-0.0016
3.1443e-04,-0.444,-0.448,0.0032,0.0056
3.1482e-04,-0.444,-0.436,0.004,-0.000800001
3.1520e-04,-0.444,-0.448,0.004,0.0112
3.1559e-04,-0.444,-0.436,0.004,-0.0016
3.1597e-04,-0.444,-0.448,0.004,0.008
3.1635e-04,-0.444,-0.436,0.004,0.0024
3.1674e-04,-0.444,-0.448,0.004,0.0064
3.1712e-04,-0.444,-0.44,0.004,-5.72205e-10
3.1751e-04,-0.444,-0.448,0.004,0.0088
3.1789e-04,-0.444,-0.44,0.004,0.0016
3.1827e-04,-0.444,-0.448,0.0032,0.0064
3.1866e-04,-0.444,-0.436,0.0032,-0.000800001
3.1904e-04,-0.444,-0.448,0.0032,0.0072
3.1943e-04,-0.444,-0.436,0.0032,0.0016
3.1981e-04,-0.444,-0.448,0.0032,0.0056
3.2019e-04,-0.444,-0.44,0.0032,0.0016
3.2058e-04,-0.444,-0.448,0.0032,0.0048
3.2096e-04,-0.444,-0.44,0.0032,0.000799999
3.2135e-04,-0.444,-0.448,0.0032,0.0048
3.2173e-04,-0.444,-0.436,0.0032,-5.72205e-10
3.2211e-04,-0.444,-0.448,0.0032,0.0064
3.2250e-04,-0.444,-0.436,0.0032,0.000799999
3.2288e-04,-0.444,-0.448,0.0032,0.0056
3.2327e-04,-0.444,-0.436,0.0032,0.000799999
3.2365e-04,-0.444,-0.448,0.0032,0.0048
3.2403e-04,-0.444,-0.44,0.0032,0.000799999
3.2442e-04,-0.444,-0.448,0.0032,0.0048
3.2480e-04,-0.444,-0.44,0.0032,0.000799999
3.2519e-04,-0.444,-0.448,0.0024,0.0048
3.2557e-04,-0.444,-0.44,0.0024,-5.72205e-10
3.2595e-04,-0.444,-0.448,0.0024,0.0048
3.2634e-04,-0.444,-0.44,0.0024,0.000799999
3.2672e-04,-0.444,-0.448,0.0024,0.0048
3.2711e-04,-0.444,-0.44,0.0024,0.000799999
3.2749e-04,-0.444,-0.448,0.0024,0.0048
3.2787e-04,-0.444,-0.44,0.0024,0.000799999
3.2826e-04,-0.444,-0.448,0.0024,0.004
3.2864e-04,-0.444,-0.44,0.0024,0.000799999
3.2903e-04,-0.444,-0.448,0.0032,0.0048
3.2941e-04,-0.444,-0.44,0.0024,0.000799999
3.2979e-04,-0.444,-0.448,0.0024,0.0048
3.3018e-04,-0.444,-0.436,0.0024,0.000799999
3.3056e-04,-0.444,-0.448,0.0024,0.0048
3.3095e-04,-0.444,-0.44,0.0032,0.0016
3.3133e-04,-0.444,-0.448,0.0024,0.0048
3.3171e-04,-0.444,-0.436,0.0024,0.000799999
3.3210e-04,-0.444,-0.448,0.0024,0.0048
3.3248e-04,-0.444,-0.44,0.0024,0.000799999
3.3287e-04,-0.444,-0.448,0.0032,0.0056
3.3325e-04,-0.444,-0.436,0.0032,0.000799999
3.3363e-04,-0.444,-0.448,0.0032,0.0056
3.3402e-04,-0.444,-0.44,0.0032,0.000799999
3.3440e-04,-0.444,-0.448,0.0032,0.0056
3.3479e-04,-0.444,-0.44,0.0032,0.0016
3.3517e-04,-0.444,-0.448,0.004,0.0056
3.3555e-04,-0.444,-0.436,0.004,0.0016
3.3594e-04,-0.444,-0.448,0.004,0.0056
3.3632e-04,-0.444,-0.44,0.0032,0.0016
3.3671e-04,-0.444,-0.448,0.0032,0.0056
3.3709e-04,-0.444,-0.436,0.0032,0.0016
3.3747e-04,-0.444,-0.448,0.0032,0.0048
3.3786e-04,-0.444,-0.436,0.0032,0.0016
3.3824e-04,-0.444,-0.448,0.0032,0.0056
3.3863e-04,-0.444,-0.436,0.0032,0.0016
3.3901e-04,-0.444,-0.448,0.0032,0.0064
3.3939e-04,-0.444,-0.44,0.0032,0.0016
3.3978e-04,-0.444,-0.448,0.004,0.0056
3.4016e-04,-0.444,-0.44,0.004,-0.000800001
3.4055e-04,-0.444,-0.448,0.004,0.0072
3.4093e-04,-0.444,-0.436,0.004,-0.0024
3.4131e-04,-0.444,-0.448,0.004,0.0096
3.4170e-04,-0.444,-0.44,0.004,-0.0032
3.4208e-04,-0.444,-0.448,0.0048,0.008
3.4247e-04,-0.444,-0.436,0.0064,-0.0016
3.4285e-04,-0.444,-0.448,0.0072,0.02
3.4324e-04,-0.444,-0.436,0.008,0.0024
3.4362e-04,-0.444,-0.448,0.008,0.0144
3.4400e-04,-0.444,-0.436,0.0088,0.004
3.4439e-04,-0.444,-0.448,0.0096,0.0144
3.4477e-04,-0.444,-0.44,0.0096,0.0056
3.4516e-04,-0.444,-0.448,0.0088,0.0144
3.4554e-04,-0.444,-0.44,0.0088,0.0056
3.4592e-04,-0.444,-0.448,0.008,0.0128
3.4631e-04,-0.444,-0.44,0.008,0.0032
3.4669e-04,-0.444,-0.448,0.0072,0.0128
3.4708e-04,-0.444,-0.436,0.0064,0.000799999
3.4746e-04,-0.444,-0.448,0.0056,0.0112
3.4784e-04,-0.444,-0.436,0.0048,0.0024
3.4823e-04,-0.444,-0.448,0.004,0.008
3.4861e-04,-0.444,-0.44,0.0024,-0.0016
3.4900e-04,-0.444,-0.448,0.000799999,0.008
3.4938e-04,-0.444,-0.44,-5.72205e-10,-0.0056
3.4976e-04,-0.444,-0.448,-5.72205e-10,0.0048
3.5015e-04,-0.444,-0.436,-5.72205e-10,-0.004
3.5053e-04,-0.444,-0.448,-0.000800001,0.0048
3.5092e-04,-0.444,-0.436,-0.0024,-0.0088
3.5130e-04,-0.444,-0.448,-0.0032,0.000799999
3.5168e-04,-0.444,-0.436,-0.0032,-0.0088
3.5207e-04,-0.444,-0.448,-0.0032,-0.000800001
3.5245e-04,-0.444,-0.44,-0.0016,-0.008
3.5284e-04,-0.444,-0.448,-5.72205e-10,0.0112
3.5322e-04,-0.444,-0.436,0.000799999,-0.0024
3.5360e-04,-0.444,-0.448,0.000799999,0.0048
3.5399e-04,-0.444,-0.44,0.000799999,-0.0032
3.5437e-04,-0.444,-0.448,0.0016,0.0048
3.5476e-04,-0.444,-0.44,0.0024,-0.0072
3.5514e-04,-0.444,-0.448,0.0024,0.0104
3.5552e-04,-0.444,-0.436,0.0032,-0.0168
3.5591e-04,-0.444,-0.448,0.004,0.0216
3.5629e-04,-0.444,-0.436,0.0048,-0.0072
3.5668e-04,-0.444,-0.448,0.0056,0.0152
3.5706e-04,-0.444,-0.436,0.0056,0.000799999
3.5744e-04,-0.444,-0.448,0.0064,0.0112
3.5783e-04,-0.444,-0.44,0.008,0.0016
3.5821e-04,-0.444,-0.448,0.0088,0.0192
3.5860e-04,-0.444,-0.44,0.0096,0.0032
3.5898e-04,-0.444,-0.448,0.0088,0.0176
3.5936e-04,-0.444,-0.436,0.008,0.0024
3.5975e-04,-0.444,-0.448,0.0072,0.0144
3.6013e-04,-0.444,-0.436,0.008,0.0048
3.6052e-04,-0.444,-0.448,0.0072,0.0112
3.6090e-04,-0.444,-0.436,0.0056,-0.0024
3.6128e-04,-0.444,-0.448,0.004,0.0104
3.6167e-04,-0.444,-0.44,0.0016,-0.0088
3.6205e-04,-0.444,-0.448,0.0016,0.0064
3.6244e-04,-0.444,-0.436,0.0016,-0.0168
3.6282e-04,-0.444,-0.448,0.0024,0.0176
3.6320e-04,-0.444,-0.436,0.0024,-0.0024
3.6359e-04,-0.444,-0.448,0.000799999,0.0096
3.6397e-04,-0.444,-0.44,-5.72205e-10,-0.0064
3.6436e-04,-0.444,-0.448,-0.000800001,0.0056
3.6474e-04,-0.444,-0.44,-0.000800001,-0.0072
3.6512e-04,-0.444,-0.448,-0.0016,0.0024
3.6551e-04,-0.444,-0.44,-0.0016,-0.004
3.6589e-04,-0.444,-0.448,-0.0016,0.0016
3.6628e-04,-0.444,-0.44,-0.000800001,-0.0064
3.6666e-04,-0.444,-0.448,-0.000800001,0.0048
3.6704e-04,-0.444,-0.436,-5.72205e-10,-0.0032
3.6743e-04,-0.444,-0.448,-5.72205e-10,0.004
3.6781e-04,-0.444,-0.44,0.000799999,-0.0032
3.6820e-04,-0.444,-0.448,0.0016,0.0056
3.6858e-04,-0.444,-0.44,0.0016,-0.0016
3.6896e-04,-0.444,-0.448,0.0024,0.0048
3.6935e-04,-0.444,-0.44,0.0032,-0.0016
3.6973e-04,-0.444,-0.448,0.004,0.008
3.7012e-04,-0.444,-0.44,0.0048,-0.0024
3.7050e-04,-0.444,-0.448,0.0048,0.012
3.7088e-04,-0.444,-0.44,0.0048,0.0016
3.7127e-04,-0.444,-0.448,0.0048,0.0072
3.7165e-04,-0.444,-0.44,0.0048,-0.0016
3.7204e-04,-0.444,-0.448,0.0064,0.0088
3.7242e-04,-0.444,-0.44,0.0072,-5.72205e-10
3.7280e-04,-0.444,-0.448,0.0072,0.0176
3.7319e-04,-0.444,-0.436,0.0072,0.0032
3.7357e-04,-0.444,-0.448,0.0072,0.0128
3.7396e-04,-0.444,-0.436,0.0072,0.0056
3.7434e-04,-0.444,-0.448,0.0064,0.0096
3.7473e-04,-0.444,-0.44,0.0056,0.0032
3.7511e-04,-0.444,-0.448,0.0048,0.0096
3.7549e-04,-0.444,-0.44,0.004,-0.000800001
3.7588e-04,-0.444,-0.448,0.0024,0.0096
3.7626e-04,-0.444,-0.44,0.0016,-0.004
3.7665e-04,-0.444,-0.448,0.000799999,0.0064
3.7703e-04,-0.444,-0.44,-5.72205e-10,-0.0064
3.7741e-04,-0.444,-0.448,-0.000800001,0.004
3.7780e-04,-0.444,-0.44,-0.0016,-0.0072
3.7818e-04,-0.444,-0.448,-0.0024,0.0048
3.7857e-04,-0.444,-0.44,-0.0032,-0.0072
3.7895e-04,-0.444,-0.448,-0.0032,0.000799999
3.7933e-04,-0.444,-0.436,-0.0032,-0.0096
3.7972e-04,-0.444,-0.448,-0.0032,0.000799999
3.8010e-04,-0.444,-0.44,-0.0024,-0.004
3.8049e-04,-0.444,-0.448,-0.0016,-5.72205e-10
3.8087e-04,-0.444,-0.44,-0.0016,-0.0064
3.8125e-04,-0.444,-0.448,-0.0016,0.0048
3.8164e-04,-0.444,-0.44,-0.000800001,-0.008
3.8202e-04,-0.444,-0.448,-5.72205e-10,0.0032
3.8241e-04,-0.444,-0.44,0.0016,-0.004
3.8279e-04,-0.444,-0.448,0.0032,0.0128
3.8317e-04,-0.444,-0.44,0.004,-5.72205e-10
3.8356e-04,-0.444,-0.448,0.0048,0.008
3.8394e-04,-0.444,-0.44,0.0048,-0.000800001
3.8433e-04,-0.444,-0.448,0.0056,0.0104
3.8471e-04,-0.444,-0.44,0.0056,-0.0024
3.8509e-04,-0.444,-0.448,0.0056,0.0104
3.8548e-04,-0.444,-0.436,0.0064,0.0032
3.8586e-04,-0.444,-0.448,0.0072,0.0088
3.8625e-04,-0.444,-0.44,0.0072,0.0048
3.8663e-04,-0.444,-0.448,0.0072,0.0104
3.8701e-04,-0.444,-0.44,0.0072,0.0024
3.8740e-04,-0.444,-0.448,0.0064,0.0128
3.8778e-04,-0.444,-0.44,0.0064,0.0016
3.8817e-04,-0.444,-0.448,0.0056,0.0112
3.8855e-04,-0.444,-0.44,0.0048,0.0016
3.8893e-04,-0.444,-0.448,0.004,0.0072
3.8932e-04,-0.444,-0.44,0.0032,-0.0024
3.8970e-04,-0.444,-0.448,0.0024,0.0072
3.9009e-04,-0.444,-0.44,0.0016,-0.0016
3.9047e-04,-0.444,-0.448,0.000799999,0.0056
3.9085e-04,-0.444,-0.436,-5.72205e-10,-0.0056
3.9124e-04,-0.444,-0.448,-0.0016,0.0048
3.9162e-04,-0.444,-0.436,-0.0024,-0.0072
3.9201e-04,-0.444,-0.448,-0.0032,0.0016
3.9239e-04,-0.444,-0.436,-0.0032,-0.0088
3.9277e-04,-0.444,-0.448,-0.0024,0.0104
3.9316e-04,-0.444,-0.436,-0.0016,-0.0072
3.9354e-04,-0.444,-0.448,-0.0016,0.0032
3.9393e-04,-0.444,-0.44,-0.0016,-0.0056
3.9431e-04,-0.444,-0.448,-0.000800001,0.0024
3.9469e-04,-0.444,-0.44,-0.000800001,-0.004
3.9508e-04,-0.444,-0.448,-0.000800001,0.004
3.9546e-04,-0.444,-0.44,-0.000800001,-0.0056
3.9585e-04,-0.444,-0.448,-5.72205e-10,0.004
3.9623e-04,-0.444,-0.44,0.000799999,-0.004
3.9661e-04,-0.444,-0.448,0.0016,0.0048
3.9700e-04,-0.444,-0.44,0.0024,-0.000800001
3.9738e-04,-0.444,-0.448,0.0032,0.0056
3.9777e-04,-0.444,-0.44,0.0032,-0.0024
3.9815e-04,-0.444,-0.448,0.004,0.0088
3.9853e-04,-0.444,-0.44,0.0048,-5.72205e-10
3.9892e-04,-0.444,-0.448,0.0048,0.0096
3.9930e-04,-0.444,-0.44,0.0056,0.000799999
3.9969e-04,-0.444,-0.448,0.0064,0.0096
4.0007e-04,-0.444,-0.436,0.0064,0.0048
4.0045e-04,-0.444,-0.448,0.0056,0.0088
4.0084e-04,-0.444,-0.44,0.0048,0.0016
4.0122e-04,-0.444,-0.448,0.0032,0.0112
4.0161e-04,-0.444,-0.44,0.0024,-0.0024
4.0199e-04,-0.444,-0.448,0.0016,0.0072
4.0237e-04,-0.444,-0.44,0.0016,-0.0176
4.0276e-04,-0.444,-0.448,0.0024,0.0168
4.0314e-04,-0.444,-0.44,0.0024,-0.000800001
4.0353e-04,-0.444,-0.448,0.0016,0.012
4.0391e-04,-0.444,-0.44,0.000799999,-0.004
4.0429e-04,-0.444,-0.448,0.000799999,0.0072
4.0468e-04,-0.444,-0.44,-0.000800001,-0.0088
4.0506e-04,-0.444,-0.448,-0.0016,0.0064
4.0545e-04,-0.444,-0.436,-0.0016,-0.0064
4.0583e-04,-0.444,-0.448,-0.0016,0.0016
4.0622e-04,-0.444,-0.436,-0.0016,-0.0048
4.0660e-04,-0.444,-0.448,-0.0024,0.0024
4.0698e-04,-0.444,-0.436,-0.0032,-0.0096
4.0737e-04,-0.444,-0.448,-0.0032,0.0024
4.0775e-04,-0.444,-0.44,-0.0024,-0.0064
4.0814e-04,-0.444,-0.448,-0.0024,0.0016
4.0852e-04,-0.444,-0.44,-0.0024,-0.0056
4.0890e-04,-0.444,-0.448,-0.0024,0.000799999
4.0929e-04,-0.444,-0.44,-0.0016,-0.004
4.0967e-04,-0.444,-0.448,-0.000800001,-5.72205e-10
4.1006e-04,-0.444,-0.44,-5.72205e-10,-0.0064
4.1044e-04,-0.444,-0.448,0.000799999,0.0032
4.1082e-04,-0.444,-0.44,0.0024,-0.0016
4.1121e-04,-0.444,-0.448,0.0024,0.0072
4.1159e-04,-0.444,-0.44,0.0024,-0.0032
4.1198e-04,-0.444,-0.448,0.0032,0.0072
4.1236e-04,-0.444,-0.44,0.0048,0.0016
4.1274e-04,-0.444,-0.448,0.0064,0.0184
4.1313e-04,-0.444,-0.44,0.0072,-5.72205e-10
4.1351e-04,-0.444,-0.448,0.0072,0.016
4.1390e-04,-0.444,-0.44,0.0072,0.0024
4.1428e-04,-0.444,-0.448,0.0072,0.0112
4.1466e-04,-0.444,-0.44,0.0064,0.0032
4.1505e-04,-0.444,-0.448,0.0048,0.0096
4.1543e-04,-0.444,-0.44,0.004,-0.0024
4.1582e-04,-0.444,-0.448,0.0032,0.008
4.1620e-04,-0.444,-0.44,0.0032,-0.0248
4.1658e-04,-0.444,-0.448,0.0024,0.024
4.1697e-04,-0.444,-0.44,0.000799999,-0.0168
4.1735e-04,-0.444,-0.448,-5.72205e-10,0.02
4.1774e-04,-0.444,-0.436,-0.000800001,-0.0128
4.1812e-04,-0.444,-0.448,-0.000800001,0.0088
4.1850e-04,-0.444,-0.44,-0.000800001,-0.0088
4.1889e-04,-0.444,-0.448,-0.0024,0.0072
4.1927e-04,-0.444,-0.44,-0.0024,-0.0128
4.1966e-04,-0.444,-0.448,-0.0024,0.0056
4.2004e-04,-0.444,-0.44,-0.0024,-0.008
4.2042e-04,-0.444,-0.448,-0.004,0.0032
4.2081e-04,-0.444,-0.436,-0.0048,-0.008
4.2119e-04,-0.444,-0.448,-0.0048,-0.0016
4.2158e-04,-0.444,-0.44,-0.0048,-0.012
4.2196e-04,-0.444,-0.448,-0.0048,0.000799999
4.2234e-04,-0.444,-0.44,-0.0048,-0.0104
4.2273e-04,-0.444,-0.448,-0.0048,0.0032
4.2311e-04,-0.444,-0.44,-0.0032,-0.0112
4.2350e-04,-0.444,-0.448,-0.0016,0.0056
4.2388e-04,-0.444,-0.436,-5.72205e-10,-0.0048
4.2426e-04,-0.444,-0.448,0.000799999,0.0056
4.2465e-04,-0.444,-0.44,0.0016,-0.0016
4.2503e-04,-0.444,-0.448,0.0024,0.0088
4.2542e-04,-0.444,-0.44,0.0024,-0.0032
4.2580e-04,-0.444,-0.448,0.0032,0.0072
4.2618e-04,-0.444,-0.436,0.0048,0.000799999
4.2657e-04,-0.444,-0.448,0.0064,0.008
4.2695e-04,-0.444,-0.44,0.0072,0.0016
4.2734e-04,-0.444,-0.448,0.0072,0.0128
4.2772e-04,-0.444,-0.44,0.0064,0.000799999
4.2810e-04,-0.444,-0.448,0.0056,0.0104
4.2849e-04,-0.444,-0.44,0.0048,0.0016
4.2887e-04,-0.444,-0.448,0.0048,0.0104
4.2926e-04,-0.444,-0.44,0.0048,0.0016
4.2964e-04,-0.444,-0.448,0.004,0.0072
4.3002e-04,-0.444,-0.44,0.004,-0.000800001
4.3041e-04,-0.444,-0.448,0.0032,0.0104
4.3079e-04,-0.444,-0.436,0.0024,-0.0032
4.3118e-04,-0.444,-0.448,-5.72205e-10,0.0056
4.3156e-04,-0.444,-0.436,-0.000800001,-0.0072
4.3194e-04,-0.444,-0.448,-0.0016,0.0032
4.3233e-04,-0.444,-0.44,-0.0016,-0.0064
4.3271e-04,-0.444,-0.448,-0.000800001,0.0032
4.3310e-04,-0.444,-0.44,-5.72205e-10,-0.0064
4.3348e-04,-0.444,-0.448,-5.72205e-10,0.0104
4.3386e-04,-0.444,-0.44,-0.000800001,-0.0048
4.3425e-04,-0.444,-0.448,-0.0024,0.004
4.3463e-04,-0.444,-0.44,-0.004,-0.0072
4.3502e-04,-0.444,-0.448,-0.004,-5.72205e-10
4.3540e-04,-0.444,-0.44,-0.0032,-0.0056
4.3578e-04,-0.444,-0.448,-0.0024,0.000799999
4.3617e-04,-0.444,-0.436,-0.0024,-0.0072
4.3655e-04,-0.444,-0.448,-0.0016,0.0024
4.3694e-04,-0.444,-0.44,-0.000800001,-0.0072
4.3732e-04,-0.444,-0.448,0.000799999,0.0024
4.3771e-04,-0.444,-0.44,0.0024,-5.72205e-10
4.3809e-04,-0.444,-0.448,0.004,0.0048
4.3847e-04,-0.444,-0.44,0.0048,0.000799999
4.3886e-04,-0.444,-0.448,0.0048,0.0112
4.3924e-04,-0.444,-0.436,0.0056,-0.000800001
4.3963e-04,-0.444,-0.448,0.0064,0.0112
4.4001e-04,-0.444,-0.44,0.0064,0.0024
4.4039e-04,-0.444,-0.448,0.0064,0.012
4.4078e-04,-0.444,-0.44,0.0064,0.0032
4.4116e-04,-0.444,-0.448,0.0064,0.0104
4.4155e-04,-0.444,-0.436,0.0048,-0.0032
