>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:38:27.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#12, 0.069 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-1.41352486610413	-0.497853875160217	-0.00625900388220283	-0.00220446729457675	0	0.00663587263668379	64	64	0.705072462558746	0.210403829813004	3.35104386258263	2.70192122459412	1.71966290473938	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-1.36289465427399	-0.352324247360229	-0.00603481632102112	-0.00156007077406406	0	0.00623320373873273	64	64	0.709814250469208	0.157884523272514	4.49578106679933	2.72677206993103	3.31912279129028	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-1.21409571170807	-0.0956378355622292	-0.00537594346952708	-0.000423478637287286	0	0.00539259699437938	64	64	0.707501351833344	0.128284975886345	5.51507568945688	2.92001700401306	2.59403538703918	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-1.1688426733017	-0.0549334846436977	-0.00517556571186682	-0.000243242196789558	0	0.00518127852987567	64	64	0.724650979042053	0.108114719390869	6.70261166217533	2.94395518302917	2.32283806800842	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-1.0750789642334	-0.131598085165024	-0.0047603855950248	-0.000582708479836299	0	0.0047959170328304	64	64	0.7527214884758	0.14141720533371	5.32270091676301	2.90558266639709	2.31542468070984	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-1.00512182712555	-0.162234008312225	-0.0044506195603086	-0.000718362522090039	0	0.00450822128824053	64	64	0.748193621635437	0.142130926251411	5.26411556843004	2.93002200126648	3.06384873390198	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.598549127578735	-0.416201710700989	-0.0026503398723574	-0.00184291637559707	0	0.00322810195106215	64	64	0.778476655483246	0.192200034856796	4.05034606816419	2.936847448349	2.92097544670105	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.582809448242188	-0.410350650548935	-0.00258064551010426	-0.00181700822987931	0	0.00315614482498355	64	64	0.792060077190399	0.166644036769867	4.75300582333002	2.88972997665405	2.90328669548035	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.555075228214264	-0.454942345619202	-0.00245784003636465	-0.00201445759865344	0	0.0031778950676713	64	64	0.803041934967041	0.177354320883751	4.52789608375769	2.83911824226379	2.78919506072998	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.441957861185074	-0.462352782487869	-0.00195696307525988	-0.00204727057155688	0	0.00283214075764137	64	64	0.82672518491745	0.170532435178757	4.84790581950498	2.67331862449646	2.66157460212708	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.496476411819458	-0.469255596399307	-0.00219836796898005	-0.00207783582025243	0	0.00302493362290175	64	64	0.793884098529816	0.205428197979927	3.86453323514714	2.77435779571533	3.12912583351135	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.246842995285988	-0.428329020738602	-0.00109300607498175	-0.00189661538183762	0	0.00218902082826319	64	64	0.801666975021362	0.15008819103241	5.34130613146142	2.81905698776245	2.1058566570282	0
