Timestamp: 137.4966.
X	Y	X_pix	Y_pix	X_mm	Y_mm	U_m_s	V_m_s
0	0	-38.5	-448.5	-1.06610392685980004	-12.41941843181849947	NaN	NaN
1	0	-22.5	-448.5	-0.62304775929078504	-12.41941843181849947	-0.00337771734720168	-0.00166655148841816
2	0	-6.5	-448.5	-0.17999157716985800	-12.41941843181849947	-0.00526897518966333	-0.00227745280767255
3	0	9.5	-448.5	0.26306460495106898	-12.41941843181849947	-0.00112934272556584	0.00090120300840806
4	0	25.5	-448.5	0.70612080162391100	-12.41941843181849947	-0.00090967539643607	-0.00287175019506485
5	0	41.5	-448.5	1.14917696919291989	-12.41941843181849947	-0.00381135083313587	-0.00212989427533948
6	0	57.5	-448.5	1.59223307855426999	-12.41941843181849947	0.01143227187480085	-0.00063247977401938
7	0	73.5	-448.5	2.03528930433094990	-12.41941843181849947	0.01154232299837672	-0.00050502435126305
8	0	89.5	-448.5	2.47834553010762004	-12.41941843181849947	0.01913604642223061	-0.00147795695904389
9	0	105.5	-448.5	2.92140175588429019	-12.41941843181849947	0.01950219049724716	-0.00353230623668713
10	0	121.5	-448.5	3.36445774883031978	-12.41941843181849947	0.02043073768180327	0.00051656188679533
11	0	137.5	-448.5	3.80751397460698993	-12.41941843181849947	0.01353779216596166	0.00044135576536781
12	0	153.5	-448.5	4.25057020038365962	-12.41941843181849947	-0.00102476609909122	-0.00266500714453338
13	0	169.5	-448.5	4.69362642616033998	-12.41941843181849947	-0.00017480899512321	-0.00156138435922741
14	0	185.5	-448.5	5.13668265193700968	-12.41941843181849947	0.01140591917250220	0.00079200159814781
15	0	201.5	-448.5	5.57973887771368027	-12.41941843181849947	0.02174979201122284	0.00201139349640951
16	0	217.5	-448.5	6.02279510349034997	-12.41941843181849947	0.00030113618708246	-0.00140920018908509
17	0	233.5	-448.5	6.46585086360574035	-12.41941843181849947	-0.00143891448824727	-0.00632266676702192
18	0	249.5	-448.5	6.90890708938241005	-12.41941843181849947	0.01888054588278742	-0.00681608447061085
19	0	265.5	-448.5	7.35196331515907975	-12.41941843181849947	0.01847093724695740	-0.00671448144437713
20	0	281.5	-448.5	7.79501954093575034	-12.41941843181849947	0.02042347059260520	-0.00596488455639414
21	0	297.5	-448.5	8.23807530105113983	-12.41941843181849947	0.03009515313360739	-0.00702060768241810
22	0	313.5	-448.5	8.68113152682781042	-12.41941843181849947	0.03007756370111561	-0.00664129775448178
23	0	329.5	-448.5	9.12418775260447923	-12.41941843181849947	0.02436225768140332	-0.00364310075343753
24	0	345.5	-448.5	9.56724397838116047	-12.41941843181849947	0.02300934712453781	-0.00258061206796710
25	0	361.5	-448.5	10.01030020415780086	-12.41941843181849947	0.02323527869954266	-0.00289269503371432
26	0	377.5	-448.5	10.45335642993449987	-12.41941843181849947	0.03558601366442458	-0.00343083717309183
27	0	393.5	-448.5	10.89641265571120066	-12.41941843181849947	0.03492992838409523	-0.00428296820608218
28	0	409.5	-448.5	11.33946888148780019	-12.41941843181849947	0.00065421816007635	-0.00040236153768262
29	0	425.5	-448.5	11.78252510726449920	-12.41941843181849947	0.03694278341947156	-0.00813373611581201
30	0	441.5	-448.5	12.22558133304119998	-12.41941843181849947	0.02853525169167971	-0.01399144163734297
31	0	457.5	-448.5	12.66863755881790077	-12.41941843181849947	0.03196707179301125	-0.01530481292790525
32	0	473.5	-448.5	13.11169378459450030	-12.41941843181849947	0.00181778974980744	0.00244326711665905
33	0	489.5	-448.5	13.55475001037119931	-12.41941843181849947	0.02908629294968444	-0.01208385025367065
34	0	505.5	-448.5	13.99780623614790009	-12.41941843181849947	0.02031793599032633	-0.00314963973233148
35	0	521.5	-448.5	14.44086246192460088	-12.41941843181849947	0.03111031237733924	-0.00454844913446631
36	0	537.5	-448.5	14.88391868770120041	-12.41941843181849947	0.03119947100505590	-0.00375415601986690
37	0	553.5	-448.5	15.32697491347789942	-12.41941843181849947	0.02051096425727986	-0.00191736482424731
38	0	569.5	-448.5	15.77003113925460021	-12.41941843181849947	0.02087613026696761	-0.00136702620655766
39	0	585.5	-448.5	16.21308736503119974	-12.41941843181849947	0.00073016871266576	0.00130983251004264
40	0	601.5	-448.5	16.65614359080790052	-12.41941843181849947	0.03223117921629200	0.00479534709213149
41	0	617.5	-448.5	17.09919981658460131	-12.41941843181849947	0.03174153811397981	0.00498797943763816
42	0	633.5	-448.5	17.54225604236129854	-12.41941843181849947	0.00040241966827303	0.00172633139411593
43	0	649.5	-448.5	17.98531226813789985	-12.41941843181849947	0.00050892378454753	0.00184320093366424
44	0	665.5	-448.5	18.42836849391460063	-12.41941843181849947	0.02000115990315881	-0.00019193143145902
45	0	681.5	-448.5	18.87142471969130142	-12.41941843181849947	0.01587778878436009	0.00045708110290463
46	0	697.5	-448.5	19.31448094546789918	-12.41941843181849947	0.00042258804692288	0.00555224865789834
47	0	713.5	-448.5	19.75753717124459996	-12.41941843181849947	-0.00032221924826299	0.00699027356995960
48	0	729.5	-448.5	20.20059339702130075	-12.41941843181849947	-0.00097356499177610	0.00756378298077676
49	0	745.5	-448.5	20.64364776015279901	-12.41941843181849947	0.02007005728844249	0.00291956695485047
50	0	761.5	-448.5	21.08670398592949979	-12.41941843181849947	0.01992970965460285	0.00179034960379963
51	0	777.5	-448.5	21.52976021170620058	-12.41941843181849947	0.02027288148363485	0.00125459601145231
52	0	793.5	-448.5	21.97281643748279834	-12.41941843181849947	-0.00131878541275555	0.00616601478923182
53	0	809.5	-448.5	22.41587266325949912	-12.41941843181849947	-0.00113038436719147	0.00599586859656604
54	0	825.5	-448.5	22.85892888903619991	-12.41941843181849947	0.03650341187021627	0.00321990077812815
55	0	841.5	-448.5	23.30198511481290069	-12.41941843181849947	-0.00111344850464761	0.00493312791399646
