>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:40:05.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#15, 0.087 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	0.0935867205262184	-0.631095349788666	0.000414575412739417	-0.00279565961543941	0	0.00282623167101476	64	64	0.703249871730804	0.116662666201591	6.02806274387385	2.82868933677673	2.14657855033875	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	0.0808042734861374	-0.604562044143677	0.000357951051637067	-0.00267812097237914	0	0.00270193650888859	64	64	0.686312615871429	0.127398476004601	5.3871336408031	2.79728269577026	2.9590220451355	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	0.106623910367489	-0.579985618591309	0.000472328246998554	-0.00256925102042716	0	0.00261230640983762	64	64	0.705468237400055	0.150383964180946	4.69111345243709	2.70408701896667	2.5937192440033	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	0.0725480318069458	-0.298159807920456	0.000321377114837259	-0.00132080411340302	0	0.00135934055921372	64	64	0.741228044033051	0.171904355287552	4.31186308684946	2.83390879631042	2.38241744041443	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	0.0854428261518478	-0.256732404232025	0.000378499157982579	-0.00113728680575207	0	0.00119861707443673	64	64	0.754522323608398	0.126099020242691	5.98357007180737	2.73324370384216	2.75445508956909	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	0.0339436121284962	-0.119222581386566	0.00015036521131324	-0.00052813850734675	0	0.000549126560745088	64	64	0.754708886146545	0.14381168782711	5.24789672904648	2.77534961700439	2.65803074836731	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	0.0407025814056396	-0.0686898082494736	0.000180306451502117	-0.000304285751716656	0	0.000353695116097262	64	64	0.775620400905609	0.14788182079792	5.24486645295969	2.75182962417603	2.31395554542542	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	0.0109537253156304	-0.0121282525360584	4.85233927231106E-05	-5.37263756297101E-05	0	7.23950487234171E-05	64	64	0.742894411087036	0.167321175336838	4.4399306279764	2.79981970787048	2.66602730751038	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.0703715160489082	0.0428608171641827	-0.000311735470022175	0.000189867118606979	0	0.000365004830102375	64	64	0.75003856420517	0.155595824122429	4.82042862291092	2.73891973495483	2.45885038375854	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.191253140568733	0.0953617095947266	-0.000847223294535463	0.000422438353352649	0	0.000946700308010313	64	64	0.754865288734436	0.179022714495659	4.21658944710472	2.89623761177063	2.98285937309265	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.297554939985275	0.273132294416428	-0.00131812463737832	0.00120993590814449	0	0.00178924494172295	64	64	0.768613576889038	0.172764629125595	4.44890589456409	3.12432408332825	2.91703367233276	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.321663349866867	0.38200369477272	-0.00142492134871679	0.00169222020536574	0	0.00221224096189292	64	64	0.787374675273895	0.16837652027607	4.67627359196471	2.90799689292908	2.95514035224915	0
12	0	153.5	-448.5	4.25057020038366	-12.4194184318185	-0.31552129983902	0.430994868278503	-0.00139771297010235	0.00190924390127629	0	0.00236618127398411	64	64	0.785453081130981	0.124284297227859	6.31980949042141	2.95883917808533	3.24636387825012	0
13	0	169.5	-448.5	4.69362642616034	-12.4194184318185	-0.248817622661591	0.341550141572952	-0.00110222548703233	0.00151301691220331	0	0.00187192980661052	64	64	0.833974897861481	0.130884870886803	6.37182045725326	2.75302147865295	2.88011121749878	0
14	0	185.5	-448.5	5.13668265193701	-12.4194184318185	-0.163610905408859	0.35467454791069	-0.000724772256759924	0.00157115610271916	0	0.00173026770277912	64	64	0.848698139190674	0.0977353528141975	8.68363508958846	2.84695196151733	3.95286250114441	0
15	0	201.5	-448.5	5.57973887771368	-12.4194184318185	-0.0676759257912636	0.298627763986588	-0.000299794401488565	0.00132287708997673	0	0.00135642193964458	64	64	0.853965401649475	0.156940445303917	5.44133413152844	2.79259085655212	1.88508725166321	0
16	0	217.5	-448.5	6.02279510349035	-12.4194184318185	0.00877942331135273	0.285039186477661	3.88915545117156E-05	0.00126268168941531	0	0.00126328049213033	64	64	0.869783222675323	0.111879497766495	7.77428608493274	2.77271318435669	3.63478708267212	0
17	0	233.5	-448.5	6.46585086360574	-12.4194184318185	0.123331189155579	0.298358261585236	0.000546339035712797	0.00132168323396119	0	0.0014301513601286	64	64	0.854531347751617	0.119233056902885	7.16689959939237	2.62853145599365	3.6300847530365	0
18	0	249.5	-448.5	6.90890708938241	-12.4194184318185	0.249051541090012	0.211748242378235	0.00110326171127937	0.000938013582345902	0	0.00144812150189149	64	64	0.842900991439819	0.0915795043110847	9.20403531096417	2.66201305389404	3.72158741950989	0
19	0	265.5	-448.5	7.35196331515908	-12.4194184318185	0.351300597190857	0.318204760551453	0.00155620999707113	0.00140960030653396	0	0.00209970535532126	64	64	0.849513232707977	0.102567166090012	8.2825066255848	2.6944432258606	2.35847568511963	0
20	0	281.5	-448.5	7.79501954093575	-12.4194184318185	0.42347452044487	0.365320950746536	0.00187592986602063	0.00161831810203961	0	0.00247751212744101	64	64	0.857425808906555	0.144790723919868	5.92182831671648	2.72509217262268	2.66055631637573	0
21	0	297.5	-448.5	8.23807530105114	-12.4194184318185	0.498247683048248	0.505558013916016	0.00220716398314564	0.00223954767411937	0	0.00314438334704101	64	64	0.873048603534698	0.104287654161453	8.3715432143395	2.78811359405518	2.29886698722839	0
22	0	313.5	-448.5	8.68113152682781	-12.4194184318185	0.519490957260132	0.401383221149445	0.00230126856470175	0.00177806865802173	0	0.00290815494076977	64	64	0.871326982975006	0.134526923298836	6.47697101523281	2.79242324829102	2.10903167724609	0
23	0	329.5	-448.5	9.12418775260448	-12.4194184318185	0.533857703208923	0.408567488193512	0.00236491113704484	0.00180989390479047	0	0.00297800615055047	64	64	0.845759510993958	0.211162909865379	4.00524652522143	2.85070729255676	1.66590511798859	0
24	0	345.5	-448.5	9.56724397838116	-12.4194184318185	0.587356090545654	0.423619091510773	0.00260190112757245	0.00187657029458763	0	0.00320802206167468	64	64	0.858706593513489	0.12012618035078	7.14837174549278	2.79248476028442	2.13061475753784	0
25	0	361.5	-448.5	10.0103002041578	-12.4194184318185	0.68580162525177	0.421894192695618	0.00303800037278221	0.00186892924643244	0	0.00356683932820016	64	64	0.860447287559509	0.156815141439438	5.48701662136251	2.6527156829834	2.70916199684143	0
