>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:40:05.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#4, 0.019 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	0.189874663949013	-0.715455770492554	0.000841130301706675	-0.00316941457894447	0	0.00327912929871253	64	64	0.684368014335632	0.128268301486969	5.33544146450835	2.77689743041992	3.24999833106995	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	0.175186932086945	-0.685585379600525	0.000776064768077366	-0.00303709102202244	0	0.00313467676169335	64	64	0.650482714176178	0.108640417456627	5.98748356647169	2.81998300552368	3.42020606994629	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	0.0839380547404289	-0.540360450744629	0.000371839190337935	-0.00239375564655238	0	0.00242246372085787	64	64	0.678320169448853	0.128047183156013	5.29742359597542	2.78395247459412	2.32746720314026	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	0.0245737060904503	-0.348782598972321	0.000108859646611209	-0.00154508035249192	0	0.00154891049396564	64	64	0.801456153392792	0.235661551356316	3.40087786395417	2.76918029785156	2.61110401153564	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	0.00359847210347652	-0.270454823970795	1.59409573827767E-05	-0.00119809427415586	0	0.00119820031876449	64	64	0.825239419937134	0.201574206352234	4.0939733057666	2.73952627182007	2.4673228263855	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	0.0320831872522831	-0.134373679757118	0.000142126076286151	-0.000595265168321203	0	0.000611997093274933	64	64	0.825945258140564	0.18521523475647	4.45938078056353	2.74207234382629	2.75344324111938	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	0.0202614013105631	-0.0761286541819572	8.97564648326666E-05	-0.000337244140575743	0	0.000348984001541516	64	64	0.814109086990356	0.140461385250092	5.79596367742519	2.75573706626892	2.97509479522705	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.000711653206963092	0.0366335287690163	-3.15256951208682E-06	0.000162283742681631	0	0.000162314361143081	64	64	0.789953529834747	0.185105338692665	4.26758912203135	2.78758239746094	2.94811987876892	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.0403136499226093	0.0791376978158951	-0.000178586399138577	0.000350573974725402	0	0.000393440228893857	64	64	0.769304633140564	0.207075297832489	3.71509610848361	2.82326292991638	2.47399973869324	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.278376370668411	0.361285150051117	-0.00123318612277416	0.00160046570166013	0	0.00202045501696851	64	64	0.735532522201538	0.125274479389191	5.87136762242257	3.08528637886047	2.96527767181396	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.376419693231583	0.43252044916153	-0.00166751057540377	0.0019160326519142	0	0.00254003398447437	64	64	0.750986576080322	0.126814439892769	5.92193268144651	3.08984899520874	3.48334336280823	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.426764696836472	0.486700594425201	-0.00189053510743388	0.00215604656943392	0	0.00286751805609098	64	64	0.834039270877838	0.165902853012085	5.02727503316103	2.76575756072998	2.08685708045959	0
