>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:23:43.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#8, 0.044 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.454002559185028	0.797122836112976	-0.00201052132548183	0.0035300075486591	0	0.00406240683509264	64	64	0.761478126049042	0.136868044734001	5.56359322242786	2.53555083274841	2.71490287780762	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.374856114387512	0.876548588275909	-0.00166002635164926	0.00388173941731346	0	0.0042217991889827	64	64	0.760862350463867	0.135851964354515	5.60067242368571	2.71991634368896	3.27439045906067	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.296048104763031	0.947002530097961	-0.00131103011635663	0.00419374019711471	0	0.00439388857470121	64	64	0.757759034633636	0.101034760475159	7.49998348162508	2.72399878501892	2.66589879989624	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.220734670758247	0.94905298948288	-0.000977509385914718	0.00420282052548954	0	0.00431499999641107	64	64	0.794136166572571	0.116761721670628	6.80133998719841	2.80586719512939	3.47212886810303	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.190186873078346	0.897609770298004	-0.000842230415698792	0.00397500751622305	0	0.00406325446251621	64	64	0.771013736724854	0.0995953679084778	7.74146180606883	2.81680464744568	2.12787795066833	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.143776848912239	0.787228405475616	-0.000636706588983846	0.00348619069477259	0	0.00354385677486752	64	64	0.787431359291077	0.105536013841629	7.46125735308445	2.83716011047363	2.66802358627319	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.0883229300379753	0.7284095287323	-0.000391132452401042	0.00322571505726604	0	0.00324934181427471	64	64	0.774181127548218	0.120707087218761	6.41371725046387	2.88023281097412	2.40026092529297	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.0983518958091736	0.659706592559814	-0.00043554508653182	0.00292146849410579	0	0.00295375653777606	64	64	0.764244675636292	0.100343525409698	7.61628288936343	2.78508424758911	3.26923298835754	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.102578736841679	0.717086553573608	-0.000454263381976074	0.0031755719852417	0	0.00320789847932509	64	64	0.765543937683105	0.111163303256035	6.88666057286801	2.83961892127991	2.81299328804016	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.0746429115533829	0.747194707393646	-0.000330551364607989	0.00330890402071466	0	0.00332537366666452	64	64	0.731288015842438	0.0873226895928383	8.37454754602994	2.8573842048645	2.300950050354	0
