>>*HEADER*<<
FileID:DSExport.TAB
Version:2
GridSize:{Width=119, Height=74}
Originator:7.Project 2024-11-28 14:55:45.Run 16:30:42.Adaptive PIV
CameraInfo:GenTLCamera.0
TimeStamp:#24, 0.144 s
>>*DATA*<<
X[-]	Y[-]	X (pix)[pix]	Y (pix)[pix]	X (mm)[mm]	Y (mm)[mm]	U pix[pix]	V pix[pix]	U[m/s]	V[m/s]	W[m/s]	Length[m/s]	IA Width[pix]	IA Height[pix]	Peak height 1[-]	Peak height 2[-]	Peak height ratio[-]	Peak width 1[pix]	Peak width 2[pix]	Status[-]
0	0	-38.5	-448.5	-1.0661039268598	-12.4194184318185	-0.716703057289124	-0.365652084350586	-0.00317493996446823	-0.00161981088805019	0	0.0035642714670776	64	64	0.760838985443115	0.20216803252697	3.76339906924512	2.68480253219604	2.61636519432068	0
1	0	-22.5	-448.5	-0.623047759290785	-12.4194184318185	-0.713394999504089	-0.394546300172806	-0.00316028552040014	-0.00174781006375195	0	0.00361140479445373	64	64	0.754266440868378	0.166627928614616	4.52665076700842	2.67497205734253	2.34833383560181	0
2	0	-6.5	-448.5	-0.179991577169858	-12.4194184318185	-0.740870833396912	-0.520803213119507	-0.00328200137216917	-0.00230711857322181	0	0.00401177381189734	64	64	0.743907988071442	0.112958192825317	6.58569307338201	2.72008299827576	3.1117250919342	0
3	0	9.5	-448.5	0.263064604951069	-12.4194184318185	-0.607482433319092	-0.717994093894958	-0.00269110091779493	-0.00318065915831535	0	0.00416636734231777	64	64	0.722735583782196	0.106717891991138	6.77239374108149	2.842289686203	3.03202533721924	0
4	0	25.5	-448.5	0.706120801623911	-12.4194184318185	-0.47454559803009	-0.948379695415497	-0.002102200861047	-0.00420124982842119	0	0.00469784509972347	64	64	0.795023500919342	0.227035894989967	3.50175244735848	2.80086421966553	2.50956082344055	0
5	0	41.5	-448.5	1.14917696919292	-12.4194184318185	-0.439261347055435	-0.981031000614166	-0.00194589431624239	-0.00434589262394576	0	0.0047616475498351	64	64	0.801247775554657	0.220751643180847	3.62963447976805	2.74418258666992	2.42421340942383	0
6	0	57.5	-448.5	1.59223307855427	-12.4194184318185	-0.377913624048233	-0.988062977790833	-0.00167412857515372	-0.00437704374732993	0	0.00468627980942093	64	64	0.793111503124237	0.18557958304882	4.27370021041373	2.75376963615417	2.17558598518372	0
7	0	73.5	-448.5	2.03528930433095	-12.4194184318185	-0.390513837337494	-0.891332030296326	-0.00172994656047698	-0.00394853301631278	0	0.00431087323903385	64	64	0.760145783424377	0.210754036903381	3.6067910944589	2.88446402549744	1.76476144790649	0
8	0	89.5	-448.5	2.47834553010762	-12.4194184318185	-0.133008167147636	-0.644794166088104	-0.000589216051449527	-0.00285638905254905	0	0.00291652772570532	64	64	0.809693098068237	0.131513312458992	6.15673868241067	2.86355876922607	2.32340478897095	0
9	0	105.5	-448.5	2.92140175588429	-12.4194184318185	-0.123543098568916	-0.59617030620575	-0.000547286518442264	-0.00264098905613894	0	0.00269709950278337	64	64	0.814851045608521	0.178508952260017	4.56476291688499	2.81355452537537	2.52225518226624	0
10	0	121.5	-448.5	3.36445774883032	-12.4194184318185	-0.117719396948814	-0.536987960338593	-0.000521487963759468	-0.00237881577088	0	0.00243530576481341	64	64	0.852978348731995	0.165185302495956	5.16376660540289	2.7568953037262	2.39462304115295	0
11	0	137.5	-448.5	3.80751397460699	-12.4194184318185	-0.064669668674469	-0.538776278495789	-0.000286481707417445	-0.00238673788413	0	0.00240386969202288	64	64	0.881940305233002	0.148651272058487	5.93294825547138	2.66058659553528	2.35161876678467	0
12	0	153.5	-448.5	4.25057020038366	-12.4194184318185	-0.10478463023901	-0.469572156667709	-0.000464187932260559	-0.00208016889455576	0	0.00213133128967171	64	64	0.84028947353363	0.123527973890305	6.80242253693746	2.68300557136536	2.59585046768188	0
13	0	169.5	-448.5	4.69362642616034	-12.4194184318185	-0.0883701667189598	-0.46562597155571	-0.000391473108882752	-0.00206268759502473	0	0.00209950739690224	64	64	0.842152833938599	0.151345357298851	5.56444445319627	2.73584675788879	2.3770055770874	0
14	0	185.5	-448.5	5.13668265193701	-12.4194184318185	-0.0473440364003181	-0.401087194681168	-0.000209730475847504	-0.00177678572831311	0	0.00178912112413788	64	64	0.838580965995789	0.207281932234764	4.04560569729746	2.76571917533875	2.90134882926941	0
15	0	201.5	-448.5	5.57973887771368	-12.4194184318185	-0.0247863475233316	-0.394812136888504	-0.000109801631965521	-0.00174898770015814	0	0.00175243098970737	64	64	0.851801156997681	0.104976676404476	8.11419437319279	2.6105854511261	2.22792100906372	0
16	0	217.5	-448.5	6.02279510349035	-12.4194184318185	0.00523798866197467	-0.376736611127853	2.32038908822822E-05	-0.00166891449754989	0	0.00166907579836396	64	64	0.863683938980103	0.127082720398903	6.79623426591015	2.68673634529114	2.8332052230835	0
17	0	233.5	-448.5	6.46585086360574	-12.4194184318185	0.0179820135235786	-0.333845525979996	7.96589505192899E-05	-0.00147891025664373	0	0.00148105404884625	64	64	0.880969882011414	0.13179150223732	6.68457273083534	2.6429169178009	2.48507356643677	0
18	0	249.5	-448.5	6.90890708938241	-12.4194184318185	0.00120070483535528	-0.312545210123062	5.31903098295544E-06	-0.00138455147948745	0	0.00138456169650957	64	64	0.876909911632538	0.14649786055088	5.9858206006222	2.66658091545105	2.39812755584717	0
19	0	265.5	-448.5	7.35196331515908	-12.4194184318185	-0.145204111933708	-0.262275844812393	-0.000643243158090049	-0.00116186201934062	0	0.00132803806888806	64	64	0.86070442199707	0.184429168701172	4.6668562682276	2.68272948265076	2.19218230247498	0
20	0	281.5	-448.5	7.79501954093575	-12.4194184318185	-0.370236665010452	-0.191287338733673	-0.00164012023124233	-0.000847388343422834	0	0.00184609354516484	64	64	0.847574472427368	0.170282438397408	4.97746262271208	2.71638298034668	2.33532190322876	0
21	0	297.5	-448.5	8.23807530105114	-12.4194184318185	-0.512334704399109	-0.159417808055878	-0.00226960372449556	-0.000706208749491005	0	0.00237693749688581	64	64	0.837688148021698	0.129741311073303	6.45660307493277	2.83076095581055	2.2428674697876	0
22	0	313.5	-448.5	8.68113152682781	-12.4194184318185	-0.610074400901794	-0.264366924762726	-0.00270258313679935	-0.0011711253442779	0	0.00294541850733002	64	64	0.881534934043884	0.110580697655678	7.97186988988599	2.71729731559753	2.71438765525818	0
23	0	329.5	-448.5	9.12418775260448	-12.4194184318185	-0.633413553237915	-0.35917055606842	-0.00280597380429425	-0.00159109821135015	0	0.00322569101256571	64	64	0.88130521774292	0.144879937171936	6.08300386475894	2.63194751739502	2.68573713302612	0
24	0	345.5	-448.5	9.56724397838116	-12.4194184318185	-0.53415060043335	-0.518804550170898	-0.00236624648257417	-0.0022982646485643	0	0.00329865772870346	64	64	0.886045336723328	0.153468698263168	5.77345964845506	2.69418835639954	2.9085054397583	0
25	0	361.5	-448.5	10.0103002041578	-12.4194184318185	-0.412764757871628	-0.548174142837524	-0.00182851644396156	-0.00242836970748525	0	0.00303981114907979	64	64	0.900020182132721	0.231424227356911	3.88904909573135	2.52192544937134	1.90730428695679	0
26	0	377.5	-448.5	10.4533564299345	-12.4194184318185	-0.297461539506912	-0.476775616407394	-0.00131773196732961	-0.00211207967263514	0	0.00248943730213896	64	64	0.921114146709442	0.143503993749619	6.41873527448006	2.38597917556763	2.52056455612183	0
27	0	393.5	-448.5	10.8964126557112	-12.4194184318185	-0.26170015335083	-0.402379870414734	-0.00115931175000671	-0.00178251218337125	0	0.00212634743576175	64	64	0.915472328662872	0.149243712425232	6.13407636265752	2.48497748374939	2.03906679153442	0
28	0	409.5	-448.5	11.3394688814878	-12.4194184318185	-0.166181400418282	-0.212376475334167	-0.00073617094858639	-0.0009408116125551	0	0.00119460209101655	64	64	0.915966928005219	0.135871484875679	6.74142134269982	2.53207468986511	1.8075989484787	0
29	0	425.5	-448.5	11.7825251072645	-12.4194184318185	-0.175228789448738	0.00284086843021214	-0.000776250193002534	1.25848308042561E-05	0	0.000776352201067816	64	64	0.892213582992554	0.115724705159664	7.70979352906172	2.61513042449951	3.67365193367004	0
